workload,model,variant,label,cls,lat_sla,mean_lat,cost_vcpu_h,cost_usd,scales,run_hours,n_steps,n_reps
cpu,hpa,baseline,HPA,HPA,100.0,5.6,0.5,88.0,1.0,1.99,120.0,1
cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,100.0,5.6,1.2,215.0,0.3,2.0233333333333334,120.0,3
cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,100.0,5.5,1.3,234.0,0.3,2.02,120.0,3
cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,100.0,5.6,23.8,263.0,0.0,31.69,120.0,1
cpu,llama-8b,cot,llama-8b_cot,LLM,100.0,6.2,1.5,263.0,0.0,2.0066666666666664,120.0,3
cpu,llama-8b,domain,llama-8b_domain,LLM,100.0,6.3,1.5,263.0,0.0,2.0,120.0,3
cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,100.0,6.2,1.5,263.0,0.0,2.0,120.0,3
cpu,llama-70b,domain,llama-70b_domain,LLM,90.0,130.7,4.2,483.0,27.0,3.01,120.0,1
cpu,llama-70b,history_5,llama-70b_history_5,LLM,100.0,5.7,5.6,563.0,28.0,3.46,120.0,1
cpu,mistral-small4,domain,mistral-small4_domain,LLM,95.0,94.1,3.8,653.0,21.7,2.0366666666666666,120.0,3
cpu,llama-8b,history_5,llama-8b_history_5,LLM,100.0,6.4,3.9,692.0,14.7,2.0,120.0,3
cpu,rl-ppo,baseline,PPO,PPO,100.0,5.8,4.0,701.0,1.0,1.99,120.0,3
cpu,mistral-small4,cot,mistral-small4_cot,LLM,97.5,84.9,4.8,825.0,4.0,2.0433333333333334,120.0,3
cpu,rl-dqn,baseline,DQN,DQN,100.0,6.5,5.6,981.0,11.0,1.99,120.0,3
cpu,keda,baseline,KEDA,KEDA,99.2,69.5,6.8,1188.0,22.0,2.0,120.0,1
